Requirement ID,Module,Source (WF / User Req / Cursor / Walkthrough),Description,API Endpoint(s),DB Table(s) / Schema,Audit Event(s),Permission Action,WF-064?,Test ID(s),Spec Section
REQ-MDATA-001,master_data,WF-024 + WF-033 + Part 4.2.2.1,Driver creation atomically creates driver + linked vendor in same transaction,POST /api/drivers,master_data.drivers + master_data.vendors,master_data.driver_created + master_data.vendor_created,master_data.driver.create,no,T-131.1,7.2.4
REQ-MDATA-002,master_data,Part 4.2.2.1,Direct INSERT to drivers bypassing service function blocked by trigger,n/a (DB),master_data.drivers,n/a,n/a (DB),no,T-131.2,Part 4.2.2.1
REQ-MDATA-003,master_data,Part 4.2.2.2,Driver-vendor must have driver_uuid; CHECK constraint,n/a (DB),master_data.vendors,n/a,n/a (DB),no,T-131.3,Part 4.2.2.2
REQ-MDATA-004,master_data,7.2.5.9 + WF-033,Driver name update cascades to linked vendor names via trigger,PATCH /api/drivers/{uuid},master_data.drivers + master_data.vendors,master_data.driver_updated,master_data.driver.update,no,T-131.4,7.2.5.9
REQ-MDATA-005,master_data,7.2.5.2,CDL <30 days from expiry triggers UI badge + email notification,n/a (cron),master_data.drivers,master_data.cdl_expiring_30days,n/a (cron),no,T-131.5,7.2.5.2
REQ-MDATA-006,master_data,7.2.8.1 + Part 5.5.4.2,CDL <7 days from expiry triggers SMS via Twilio (operational exception),n/a (cron),master_data.drivers,master_data.cdl_expiring_7days,n/a (cron),no,T-131.6,7.2.8.1
REQ-MDATA-007,master_data,7.2.5.3,Hire date >30 days in past rejected E_VALIDATION,POST /api/drivers,master_data.drivers,n/a,master_data.driver.create,no,T-131.7,7.2.5.3
REQ-MDATA-008,master_data,7.2.7.2 + Part 4.2.3.3,Driver self-update of phone allowed; CDL update blocked,PATCH /api/drivers/self/contact,master_data.drivers (limited fields),master_data.driver_updated,master_data.driver.update.self,no,T-131.8,7.2.7.2
REQ-MDATA-009,master_data,7.2.7.1 + Part 4.2.3.1,Driver self-SELECT only own row via RLS,GET /api/drivers (driver caller),master_data.drivers,n/a,master_data.driver.read,no,T-131.9,7.2.7.1
REQ-MDATA-010,master_data,WF-064 + Part 4.2.2.6,Forfeiture clause flip false to true requires Owner + evidence + 20-char reason,POST /api/drivers/{uuid}/forfeiture-clause/activate,master_data.drivers,master_data.forfeiture_clause_activated,master_data.driver.forfeiture_clause.activate,yes,T-131.10,Part 4.2.2.6
REQ-MDATA-011,master_data,WF-064 + 7.2.5.8,Forfeiture clause activation by Admin blocked; emits forfeiture_clause_activation_blocked,POST /api/drivers/{uuid}/forfeiture-clause/activate,master_data.drivers,master_data.forfeiture_clause_activation_blocked,master_data.driver.forfeiture_clause.activate,yes,T-131.11,7.2.5.8
REQ-MDATA-012,master_data,WF-064 + Part 4.2.2.6,Forfeiture clause already active rejected E_FORFEITURE_CLAUSE_ALREADY_ACTIVE,POST /api/drivers/{uuid}/forfeiture-clause/activate,master_data.drivers,master_data.forfeiture_clause_activation_blocked,master_data.driver.forfeiture_clause.activate,yes,T-131.12,Part 4.2.2.6
REQ-MDATA-013,master_data,WF-064 + 7.2.5.8,Forfeiture clause flip true to false blocked entirely (Phase 2),n/a,master_data.drivers,n/a,n/a,yes,T-131.13,7.2.5.8
REQ-MDATA-014,master_data,WF-033 + Part 4.3.2.4,Unit creation atomically creates unit + matching catalogs.classes row,POST /api/units,master_data.units + catalogs.classes,master_data.unit_created + catalogs.class_created,master_data.unit.create,no,T-132.1,Part 4.3.2.4
REQ-MDATA-015,master_data,WF-033 + Part 4.2.2.3,Unit qbo_class_uuid must reference active class,POST /api/units,master_data.units,n/a,master_data.unit.create,no,T-132.2,Part 4.2.2.3
REQ-MDATA-016,master_data,WF-024 + 7.2.5.5,VIN with invalid check digit rejected E_VIN_CHECKSUM_INVALID,POST /api/units,master_data.units,n/a,master_data.unit.create,no,T-132.3,7.2.5.5
REQ-MDATA-017,master_data,WF-033 + 7.2.4,Unit display_id duplicate rejected E_UNIT_DISPLAY_ID_DUPLICATE,POST /api/units,master_data.units,n/a,master_data.unit.create,no,T-132.4,7.2.4
REQ-MDATA-018,master_data,Part 4.2.2.4,Unit acquired_date > retired_date CHECK rejects,n/a (DB),master_data.units,n/a,n/a (DB),no,T-132.5,Part 4.2.2.4
REQ-MDATA-019,master_data,WF-064 + 7.2.7,Unit retire emits master_data.unit_retired warning + WF-064 Owner notification,POST /api/units/{uuid}/retire,master_data.units,master_data.unit_retired,master_data.unit.retire,yes,T-132.6,7.2.7
REQ-MDATA-020,master_data,WF-064 + 7.2.9,Unit retire when has open WO blocked; emits unit_retirement_blocked,POST /api/units/{uuid}/retire,master_data.units,master_data.unit_retirement_blocked,master_data.unit.retire,yes,T-132.7,7.2.9
REQ-MDATA-021,master_data,WF-024 + Part 4.11.1,views.unit_pnl_monthly aggregates correctly via canonical tables only,GET /api/units/{uuid}/pnl,views.unit_pnl_monthly,n/a,master_data.unit.read,no,T-132.8,Part 4.11.1
REQ-MDATA-022,master_data,WF-031 + Part 3.12.4.8,Customer creation queues QBO outbox; qbo_customer_id populated,POST /api/customers,master_data.customers + outbox.queue,master_data.customer_created,master_data.customer.create,no,T-133.1,Part 3.12.4.8
REQ-MDATA-023,master_data,WF-024 + 7.2.2.5.3,Customer detention config update emits audit; per-customer override respected,PATCH /api/customers/{uuid}/detention-config,master_data.customers,master_data.customer_detention_config_updated,master_data.customer.update,no,T-133.2,7.2.2.5.3
REQ-MDATA-024,master_data,WF-018 + Q9,Customer factoring_eligible respected in factoring routing (Part 10 banking),GET /api/factoring/eligible-customers,master_data.customers,n/a,master_data.customer.read,no,T-133.3,Q9
REQ-MDATA-025,master_data,WF-031 + Part 3.12.4.8,Vendor creation queues QBO outbox; qbo_vendor_id populated,POST /api/vendors,master_data.vendors + outbox.queue,master_data.vendor_created,master_data.vendor.create,no,T-134.1,Part 3.12.4.8
REQ-MDATA-026,master_data,WF-033 + Part 4.2.2.1,Manual driver-vendor creation rejected outside driver-create flow,POST /api/vendors,master_data.vendors,n/a,master_data.vendor.create,no,T-134.2,Part 4.2.2.1
REQ-MDATA-027,master_data,WF-024 + Part 4.2 RLS,Vendor tax_id stored encrypted; SELECT ciphertext for non-Owner/Admin,GET /api/vendors/{uuid},master_data.vendors (encrypted column),n/a,master_data.vendor.tax_id.read,no,T-134.3,Part 4.2
REQ-MDATA-028,master_data,WF-024 + 7.2.9.2,Tax ID decryption emits vendor_tax_id_accessed warning audit (no sampling),GET /api/vendors/{uuid}/tax-id-decrypted,master_data.vendors,master_data.vendor_tax_id_accessed,master_data.vendor.tax_id.read,no,T-134.4,7.2.9.2
REQ-MDATA-029,master_data,WF-024 + 7.2.2.6.3,1099-eligible vendor query for tax reporting works,GET /api/vendors/1099-eligible,master_data.vendors,n/a,master_data.vendor.list,no,T-134.5,7.2.2.6.3
REQ-MDATA-030,master_data,WF-024 + Part 5.2.3,Location creation triggers Samsara outbound geofence push,POST /api/locations,master_data.locations + outbox.queue,master_data.location_geofence_pushed_to_samsara,master_data.location.create,no,T-135.1,Part 5.2.3
REQ-MDATA-031,master_data,WF-024 + WF-014 + Part 3.13.9,Border-crossing location surfaces in routing flow,GET /api/locations?is_border_crossing=true,master_data.locations,n/a,master_data.location.read,no,T-135.2,Part 3.13.9
REQ-MDATA-032,master_data,WF-024 + 7.2.4,Equipment with serial_number duplicate within type warned E_VALIDATION,POST /api/equipment,master_data.equipment,n/a,master_data.equipment.create,no,T-135.3,7.2.4
REQ-MDATA-033,master_data,WF-047 + Part 4.2.2.5 + 7.2.5.6,Equipment transfer with same initiator/confirmer rejected by trigger AND API,POST /api/equipment/transfer-logs/{uuid}/confirm,master_data.equipment_log,master_data.equipment_transfer_dual_confirmation_violation,master_data.equipment.transfer.confirm,no,T-135.4,Part 4.2.2.5
REQ-MDATA-034,master_data,WF-047 + 7.2.5.7,Equipment with pending transfer blocks new transfer E_EQUIPMENT_TRANSFER_PENDING,POST /api/equipment/{uuid}/transfer,master_data.equipment_log,n/a,master_data.equipment.transfer.initiate,no,T-135.5,7.2.5.7
REQ-MDATA-035,master_data,WF-064 + Part 3.13.3.7,Equipment loss creates driver liability cross-module; fires WF-064,POST /api/equipment/{uuid}/report-loss,master_data.equipment + driver_finance.driver_liabilities,master_data.equipment_loss_reported,master_data.equipment.report_loss,yes,T-135.6,Part 3.13.3.7
REQ-MDATA-036,master_data,WF-058 + Part 3.17 + Part 5.4,Equipment damage photos use chain-of-custody R2 active bucket,POST /api/equipment/{uuid}/report-damage,master_data.equipment + documents.evidence_records,master_data.equipment_damage_reported,master_data.equipment.report_damage,no,T-135.7,Part 3.17
REQ-MDATA-037,master_data,WF-064 + Part 4.2.2.7 + 7.2.5.10,Cached debt cache columns cannot be UPDATEd via master_data API; trigger blocks,PATCH /api/drivers/{uuid},master_data.drivers (debt cache columns),n/a,master_data.driver.update,yes,T-135.8,Part 4.2.2.7
REQ-MDATA-038,master_data,WF-024 + Part 4.5.4.1,Drivers list view shows cached total_active_debt; no live recompute (reporting context),GET /api/drivers,master_data.drivers (cached),n/a,master_data.driver.list,no,T-135.9,Part 4.5.4.1
REQ-MDATA-039,master_data,WF-064 + Part 4.5.4.3,Driver detail Earnings tab fires LIVE recompute on load; computed_at displayed,GET /api/drivers/{uuid}/earnings,master_data.drivers + driver_finance.recompute_driver_debt(),n/a,master_data.driver.read,yes,T-135.10,Part 4.5.4.3
REQ-MDATA-040,master_data,WF-024 + 7.2.7,Driver equipment dropdown shows only self-assigned via RLS,GET /api/equipment?assigned_to_driver=self,master_data.equipment,n/a,master_data.equipment.list,no,T-135.11,7.2.7
REQ-MDATA-041,master_data,WF-047 + Part 4.2.2.5,Equipment transfer to unit (not driver) succeeds with same dual-confirmation rule,POST /api/equipment/{uuid}/transfer,master_data.equipment_log,master_data.equipment_transfer_initiated,master_data.equipment.transfer.initiate,no,T-135.12,Part 4.2.2.5
REQ-MDATA-042,master_data,WF-024 + Part 6.3.4,Right-click context menu on driver row mirrors hover dropdown,UI rendering,n/a,n/a,n/a (UI),no,T-135.13,Part 6.3.4
REQ-CATAL-001,catalogs,WF-028 + 7.3.4,Account creation with valid 4-digit code succeeds; emits catalogs.account_created,POST /api/catalogs/accounts,catalogs.accounts,catalogs.account_created,catalogs.account.create,no,T-136.1,7.3.4
REQ-CATAL-002,catalogs,WF-028 + 7.3.5.1,Account code with letters rejected E_VALIDATION,POST /api/catalogs/accounts,catalogs.accounts,n/a,catalogs.account.create,no,T-136.2,7.3.5.1
REQ-CATAL-003,catalogs,WF-028 + Part 3.18.4.2 + 7.3.5.2,Code update blocked when first_posting_at set; E_ACCOUNT_CODE_LOCKED,PATCH /api/catalogs/accounts/{uuid},catalogs.accounts,n/a,catalogs.account.update_display_name,no,T-136.3,Part 3.18.4.2
REQ-CATAL-004,catalogs,WF-028 + 7.3.5.4,Owning module enforcement; cross-module account create rejected,POST /api/catalogs/accounts,catalogs.accounts,n/a,catalogs.account.create,no,T-136.4,7.3.5.4
REQ-CATAL-005,catalogs,WF-028 + 7.3.4,Duplicate code (any lifecycle_state) rejected E_ACCOUNT_CODE_DUPLICATE,POST /api/catalogs/accounts,catalogs.accounts,n/a,catalogs.account.create,no,T-136.5,7.3.4
REQ-CATAL-006,catalogs,WF-028 + Part 4.3.2.2,first_posting_at populated automatically on first JE line INSERT,n/a (trigger),catalogs.accounts (first_posting_at),n/a,n/a (DB),no,T-136.6,Part 4.3.2.2
REQ-CATAL-007,catalogs,WF-028 + 7.3.5.3,Lifecycle DAG transitions draft to active to frozen to archived all succeed,POST /api/catalogs/accounts/{uuid}/lifecycle-transition,catalogs.accounts,catalogs.account_lifecycle_changed,catalogs.account.lifecycle_change,yes,T-137.1,7.3.5.3
REQ-CATAL-008,catalogs,WF-064 + 7.3.5.3 + 7.3.9,Backward transition active to draft rejected E_LIFECYCLE_TRANSITION_INVALID; blocked variant fires,POST /api/catalogs/accounts/{uuid}/lifecycle-transition,catalogs.accounts,catalogs.account_lifecycle_change_blocked,catalogs.account.lifecycle_change,yes,T-137.2,7.3.5.3
REQ-CATAL-009,catalogs,WF-064 + 7.3.5.3,Archived to anything rejected (terminal),POST /api/catalogs/accounts/{uuid}/lifecycle-transition,catalogs.accounts,catalogs.account_lifecycle_change_blocked,catalogs.account.lifecycle_change,yes,T-137.3,7.3.5.3
REQ-CATAL-010,catalogs,WF-064 + 7.3.7,Lifecycle change by Accountant E_PERMISSION_DENIED (Owner/Admin only),POST /api/catalogs/accounts/{uuid}/lifecycle-transition,catalogs.accounts,n/a,catalogs.account.lifecycle_change,yes,T-137.4,7.3.7
REQ-CATAL-011,catalogs,WF-064 + 7.3.9,Successful lifecycle change emits warning + WF-064 Owner notification,POST /api/catalogs/accounts/{uuid}/lifecycle-transition,catalogs.accounts,catalogs.account_lifecycle_changed,catalogs.account.lifecycle_change,yes,T-137.5,7.3.9
REQ-CATAL-012,catalogs,WF-008 + Part 4.6.2.3,Posting to archived account rejected E_POSTING_ACCOUNT_NOT_ACTIVE,POST /api/accounting/post,accounting.journal_entry_lines + catalogs.accounts,n/a,accounting.post,no,T-137.6,Part 4.6.2.3
REQ-CATAL-013,catalogs,WF-064 + 7.3.5.8,Account merge same type succeeds; merge_record + source archived; WF-064,POST /api/catalogs/accounts/{uuid}/merge,catalogs.accounts + catalogs.account_merge_records,catalogs.account_merged,catalogs.account.merge,yes,T-138.1,7.3.5.8
REQ-CATAL-014,catalogs,WF-064 + 7.3.5.8 + 7.3.9,Merge with different types blocked E_MERGE_ACCOUNT_TYPE_MISMATCH; blocked variant,POST /api/catalogs/accounts/{uuid}/merge,catalogs.accounts,catalogs.account_merge_blocked,catalogs.account.merge,yes,T-138.2,7.3.5.8
REQ-CATAL-015,catalogs,WF-064 + 7.3.5.8,Merge source bound to active role blocked E_MERGE_SOURCE_ROLE_BOUND,POST /api/catalogs/accounts/{uuid}/merge,catalogs.accounts + catalogs.account_role_bindings,catalogs.account_merge_blocked,catalogs.account.merge,yes,T-138.3,7.3.5.8
REQ-CATAL-016,catalogs,WF-064 + 7.3.7,Merge by Admin blocked (Owner only),POST /api/catalogs/accounts/{uuid}/merge,catalogs.accounts,n/a,catalogs.account.merge,yes,T-138.4,7.3.7
REQ-CATAL-017,catalogs,WF-064 + Part 3.18.7,Merge default historical postings stay on source; reports footnote,POST /api/catalogs/accounts/{uuid}/merge,catalogs.accounts,catalogs.account_merged,catalogs.account.merge,yes,T-138.5,Part 3.18.7
REQ-CATAL-018,catalogs,WF-064 + Part 3.18.7 + 7.3.6,Merge with migrate_historical=true moves postings; QBO outbox queued,POST /api/catalogs/accounts/{uuid}/merge,catalogs.accounts + accounting.journal_entry_lines + outbox.queue,catalogs.account_merged,catalogs.account.merge,yes,T-138.6,7.3.6
REQ-CATAL-019,catalogs,WF-028 + 7.3.5.5 + Part 3.18.5.4,Posting templates DB rows mirror code constants at deploy time; mismatch fails build,n/a (deploy),catalogs.posting_templates,catalogs.posting_template_validated,n/a (deploy),no,T-139.1,Part 3.18.5.4
REQ-CATAL-020,catalogs,WF-028 + 7.3.5.5,Adding new template requires code change AND migration row,n/a (deploy),catalogs.posting_templates,n/a,n/a (deploy),no,T-139.2,7.3.5.5
REQ-CATAL-021,catalogs,WF-064 + 7.3.7,Template version pin by Owner succeeds; emits warning + WF-064,POST /api/catalogs/posting-templates/{code}/version-pin,catalogs.posting_templates,catalogs.posting_template_version_pinned,catalogs.posting_template.version_pin,yes,T-139.3,7.3.7
REQ-CATAL-022,catalogs,WF-064 + 7.3.7,Template version pin by Admin blocked (Owner only),POST /api/catalogs/posting-templates/{code}/version-pin,catalogs.posting_templates,n/a,catalogs.posting_template.version_pin,yes,T-139.4,7.3.7
REQ-CATAL-023,catalogs,WF-028 + Part 4.3.2.6 + 7.3.5.6,Account role binding overlap on same role/date rejected E_ROLE_BINDING_OVERLAP,POST /api/catalogs/account-role-bindings,catalogs.account_role_bindings,catalogs.account_role_binding_create_blocked,catalogs.account_role_binding.create,yes,T-140.1,Part 4.3.2.6
REQ-CATAL-024,catalogs,WF-028 + 7.3.5.6,Removing only active binding for in-use role rejected E_ROLE_BINDING_GAP_PROHIBITED,DELETE /api/catalogs/account-role-bindings/{uuid},catalogs.account_role_bindings,catalogs.account_role_binding_update_blocked,catalogs.account_role_binding.update,yes,T-140.2,7.3.5.6
REQ-CATAL-025,catalogs,WF-064 + 7.3.7,Role binding create by Manager blocked (Owner/Admin only),POST /api/catalogs/account-role-bindings,catalogs.account_role_bindings,n/a,catalogs.account_role_binding.create,yes,T-140.3,7.3.7
REQ-CATAL-026,catalogs,WF-064 + 7.3.9,Role binding update emits warning + WF-064 Owner notification,PATCH /api/catalogs/account-role-bindings/{uuid},catalogs.account_role_bindings,catalogs.account_role_binding_updated,catalogs.account_role_binding.update,yes,T-140.4,7.3.9
REQ-CATAL-027,catalogs,WF-064 + 7.3.9,Role binding update with overlap emits update_blocked variant,PATCH /api/catalogs/account-role-bindings/{uuid},catalogs.account_role_bindings,catalogs.account_role_binding_update_blocked,catalogs.account_role_binding.update,yes,T-140.5,7.3.9
REQ-CATAL-028,catalogs,WF-033 + Part 4.3.2.4,classes.unit_uuid unique; second class for same unit CHECK rejects,POST /api/catalogs/classes,catalogs.classes,n/a,n/a (DB),no,T-140.6,Part 4.3.2.4
REQ-CATAL-029,catalogs,WF-033 + Part 4.3.2.4,Class created in same transaction as unit (atomic via service function),POST /api/units (which calls create_unit_with_class),master_data.units + catalogs.classes,catalogs.class_created,master_data.unit.create,no,T-140.7,Part 4.3.2.4
REQ-CATAL-030,catalogs,WF-028 + 7.3.7,Item create/update by Accountant; sampled audit,POST /api/catalogs/items + PATCH /api/catalogs/items/{uuid},catalogs.items,catalogs.item_created,catalogs.item.crud,no,T-140.8,7.3.7
REQ-CATAL-031,catalogs,WF-028 + 7.3.7,Payment terms create/update by Accountant; sampled audit,POST /api/catalogs/payment-terms + PATCH /api/catalogs/payment-terms/{uuid},catalogs.payment_terms,catalogs.payment_terms_created,catalogs.payment_terms.crud,no,T-140.9,7.3.7
REQ-CATAL-032,catalogs,WF-031 + WF-063 + Part 3.18.7.4 + Part 5.1.5,QBO inbound creates Account with owning_module=unmapped + lifecycle=frozen + WF-064 notification,n/a (inbound CDC),catalogs.accounts,catalogs.qbo_inbound_account_unmapped,n/a (inbound),yes,T-140.10,Part 3.18.7.4
REQ-CATAL-033,catalogs,WF-028 + 7.3.7,catalogs.us_states readable by all roles including driver,GET /api/catalogs/us-states,catalogs.us_states,n/a,catalogs.us_states.read,no,T-140.11,7.3.7
REQ-CATAL-034,catalogs,Cursor Rev 2 + 7.3.4.1 Profile A,All 7 read-only catalogs actions (account/posting_template/role_binding/class list+read; us_states.read) covered by Contract Profile A; E_VALIDATION + E_PERMISSION_DENIED + optional E_NOT_FOUND,GET endpoints per 7.3.4.1 mapping,catalogs.{entity tables},catalogs.{entity}_read (sampled for accounts+templates only),catalogs.{action}.read,no,T-136.1 + T-139.1 + T-140.1 + T-140.6 + T-140.7 + T-140.11,7.3.4.1 Profile A
REQ-CATAL-035,catalogs,Cursor Rev 2 + 7.3.4.1 Profile B,Standard non-WF-064 CRUD on items + payment_terms covered by Profile B; entity-specific duplicate codes; version_conflict on update,POST + PATCH endpoints per 7.3.4.1,catalogs.items + catalogs.payment_terms,catalogs.{entity}_created/_updated,catalogs.item.crud + catalogs.payment_terms.crud,no,T-140.8 + T-140.9,7.3.4.1 Profile B
REQ-CATAL-036,catalogs,Cursor Rev 2 + 7.3.4.1 Profile C,Posting template version_pin + role_binding create/update covered by Profile C; success/blocked audit pair; WF-064 Owner notification fires,POST + PATCH endpoints per 7.3.4.1 (verb-style for state changes),catalogs.posting_templates + catalogs.account_role_bindings,catalogs.{action}_executed/_blocked,catalogs.posting_template.version_pin + catalogs.account_role_binding.create + catalogs.account_role_binding.update,yes,T-139.3 + T-139.4 + T-140.3 + T-140.5,7.3.4.1 Profile C
REQ-DISP-001,dispatch,WF-024 + WF-039 + Part 4.4.2.2,Load creation atomically inserts loads + load_stops + load_legs + driver_bill in same transaction; pins driver_pay_catalog version,POST /api/dispatch/loads,dispatch.loads + dispatch.load_stops + dispatch.load_legs + accounting (driver bill),dispatch.load_created + dispatch.load_stops_created,dispatch.load.create,no,T-141.1 + T-141.4 + T-141.8 + T-141.9 + T-141.10,8a.0.4
REQ-DISP-002,dispatch,WF-024 + Part 4.4.3.1 + 8a.0.7.1,Driver caller SELECT scoped to self-assigned loads via RLS; other drivers return empty/E_NOT_FOUND,GET /api/dispatch/loads + GET /api/dispatch/loads/{uuid},dispatch.loads,n/a,dispatch.load.read + dispatch.load.list,no,T-141.1 + T-141.2 + T-141.3 + T-143.1,8a.0.7.1
REQ-DISP-003,dispatch,WF-024 + WF-038 + 8a.0.5.6-9,Load creation rejects HOS-violating driver / separated driver / retired unit with specific error codes,POST /api/dispatch/loads,dispatch.loads + master_data.drivers + master_data.units,n/a,dispatch.load.create,no,T-141.5 + T-141.6 + T-141.7,8a.0.5
